what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428598911435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428598923179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428598924786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428599027320
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428599076765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428599109350
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1428599114589
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1428599119433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428599126237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428599170861
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1428599173955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428599174819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428599308481
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428599311328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428599315280
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1428599316085
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1428599316499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428599318107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428599326262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428599355437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428672594639
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1428672596695
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1428672596789
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1428672597110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428672603740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673012233
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1428673013633
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673019456
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673068986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673072754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673075634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673076829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673099509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673102501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673109017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673132647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673225761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673232981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673269210
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428673272022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428675839344
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1428675839364
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1428675840664
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1428675842134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428675843518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428676112165
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1428676113714
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1428676156356
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1428676156517
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1428676157358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428676158600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1428676164497
