===============================================
17/10/2014 21:37:58 By:test100
===============================================
 1 ,LS_ORDER_ID:31 ,|---->dosen't exist 
 2 ,SHIPPING_PRICE: ,|---->is null 
 2 ,LS_ORDER_ID:LS_ORDER_ID ,|---->dosen't exist 
 7 ,LS_ORDER_ID:RIO10CMCH1421050R1 ,|---->dosen't exist 
 8 ,LS_ORDER_ID:RIO10VISADCH1420789 ,|---->dosen't exist 
 11 ,LS_ORDER_ID:CAO3210052541 ,|---->dosen't exist 
 13 ,LS_ORDER_ID:ONO57737799 ,|---->dosen't exist 
 18 ,LS_ORDER_ID:ACO39IL3076772 ,|---->dosen't exist 
 19 ,LS_ORDER_ID:ACO39IL3071091 ,|---->dosen't exist 
 20 ,LS_ORDER_ID:ACO39IL3077491 ,|---->dosen't exist 
 22 ,LS_ORDER_ID:ACO39IL3056351 ,|---->dosen't exist 
 24 ,LS_ORDER_ID:RIO10CBLCCH1420807 ,|---->dosen't exist 
 25 ,LS_ORDER_ID:ACO39IL3077823 ,|---->dosen't exist 
 26 ,LS_ORDER_ID:ACO39IL3077122 ,|---->dosen't exist 
 27 ,LS_ORDER_ID:ACO39IL3076321 ,|---->dosen't exist 
 28 ,LS_ORDER_ID:ACO39IL3077721 ,|---->dosen't exist 
 31 ,LS_ORDER_ID:ACO39IL3076011 ,|---->dosen't exist 
 32 ,LS_ORDER_ID:ACO39IL3076641 ,|---->dosen't exist 
 34 ,LS_ORDER_ID:ACO39IL3054921 ,|---->dosen't exist 
 36 ,LS_ORDER_ID:ACO39IL3051321 ,|---->dosen't exist 
 37 ,LS_ORDER_ID:ACO39IL3076232 ,|---->dosen't exist 
 43 ,LS_ORDER_ID:ACO39IL3070231 ,|---->dosen't exist 
 45 ,LS_ORDER_ID:ACO39IL3077681 ,|---->dosen't exist 
 46 ,LS_ORDER_ID:ACO39IL3076771 ,|---->dosen't exist 
 49 ,LS_ORDER_ID:ACO39IL3075121 ,|---->dosen't exist 
 54 ,LS_ORDER_ID:ONO57739376 ,|---->dosen't exist 
 57 ,LS_ORDER_ID:RIO10VISADCH1421110 ,|---->dosen't exist 
 58 ,LS_ORDER_ID:RIO10CBLCCH1420925 ,|---->dosen't exist 
 59 ,LS_ORDER_ID:INO43A41753 ,|---->dosen't exist 
 60 ,LS_ORDER_ID:RIO10VISADCH1420898 ,|---->dosen't exist 
 61 ,LS_ORDER_ID:RIO10VISADCH1418037 ,|---->dosen't exist 
 63 ,LS_ORDER_ID:ACO39IL3054731 ,|---->dosen't exist 
 65 ,LS_ORDER_ID:RIO10CTJXCH1421071 ,|---->dosen't exist 
 66 ,LS_ORDER_ID:ACO39IL3076872 ,|---->dosen't exist 
 71 ,LS_ORDER_ID:ACO39IL3077391 ,|---->dosen't exist 
 75 ,LS_ORDER_ID:ACO39IL3077021 ,|---->dosen't exist 
 79 ,LS_ORDER_ID:ACO39IL3055221 ,|---->dosen't exist 
 80 ,LS_ORDER_ID:ACO39IL3071013 ,|---->dosen't exist 
 81 ,LS_ORDER_ID:ACO39IL3069251 ,|---->dosen't exist 
 83 ,LS_ORDER_ID:ACO39IL3055811 ,|---->dosen't exist 
 85 ,LS_ORDER_ID:ACO39IL3068561 ,|---->dosen't exist 
 86 ,LS_ORDER_ID:ACO39IL3054931 ,|---->dosen't exist 
 87 ,LS_ORDER_ID:ACO39IL3077331 ,|---->dosen't exist 
 88 ,LS_ORDER_ID:ACO39IL3077101 ,|---->dosen't exist 
 90 ,LS_ORDER_ID:ACO39IL3071401 ,|---->dosen't exist 
 91 ,LS_ORDER_ID:ACO39IL3072461 ,|---->dosen't exist 
 92 ,LS_ORDER_ID:ACO39IL3073421 ,|---->dosen't exist 
 93 ,LS_ORDER_ID:ACO39IL3071471 ,|---->dosen't exist 
 106 ,LS_ORDER_ID:ACO39IL3073461 ,|---->dosen't exist 
 107 ,LS_ORDER_ID:ACO39IL3072611 ,|---->dosen't exist 
 110 ,LS_ORDER_ID:ACO39IL3055141 ,|---->dosen't exist 
 112 ,LS_ORDER_ID:ACO39IL3075931 ,|---->dosen't exist 
 113 ,LS_ORDER_ID:ACO39IL3077841 ,|---->dosen't exist 
 116 ,LS_ORDER_ID:ACO39IL3056001 ,|---->dosen't exist 
 117 ,LS_ORDER_ID:ACO39IL3076141 ,|---->dosen't exist 
 118 ,TRACKING_NUMBER: ,|---->dosen't exist 
 119 ,LS_ORDER_ID:RIO10CTJXCH1420953 ,|---->dosen't exist 
 139 ,LS_ORDER_ID:ACO39IL3076691 ,|---->dosen't exist 
 142 ,LS_ORDER_ID:INO4342990 ,|---->dosen't exist 
 150 ,LS_ORDER_ID:ACO39IL3064661 ,|---->dosen't exist 
 152 ,LS_ORDER_ID:RIO10CMCH1421969 ,|---->dosen't exist 
 155 ,LS_ORDER_ID:RIO10VISADCH1421830 ,|---->dosen't exist 
 157 ,LS_ORDER_ID:ACO39IL3065901 ,|---->dosen't exist 
 160 ,LS_ORDER_ID:RIO10VISADCH1421823 ,|---->dosen't exist 
 162 ,LS_ORDER_ID:ACO39IL3065711 ,|---->dosen't exist 
