===============================================
06/01/2015 11:48:48 By:frank
===============================================
 5 ,LS_ORDER_ID:RIO10CMCH1441035R3 ,|---->dosen't exist 
 6 ,LS_ORDER_ID:RIO10VISADCH1441088 ,|---->dosen't exist 
 7 ,LS_ORDER_ID:RIO10VISADCH1440978 ,|---->dosen't exist 
 8 ,LS_ORDER_ID:RIO10CMCH1441035R4 ,|---->dosen't exist 
 9 ,LS_ORDER_ID:RIO10CMCH1441035R1 ,|---->dosen't exist 
 10 ,LS_ORDER_ID:RIO10VISADCH1441104 ,|---->dosen't exist 
 11 ,LS_ORDER_ID:RIO10VISADCH1441011 ,|---->dosen't exist 
 12 ,LS_ORDER_ID:RIO10VISADCH1440956 ,|---->dosen't exist 
 13 ,LS_ORDER_ID:RIO10VISADCH1441014 ,|---->dosen't exist 
 14 ,LS_ORDER_ID:RIO10VISADCH1440955 ,|---->dosen't exist 
 15 ,LS_ORDER_ID:RIO10VISADCH1441157 ,|---->dosen't exist 
 16 ,LS_ORDER_ID:RIO10VISADCH1441081 ,|---->dosen't exist 
 17 ,LS_ORDER_ID:RIO10VISADCH1440972 ,|---->dosen't exist 
 18 ,LS_ORDER_ID:RIO10CMCH1441035R6 ,|---->dosen't exist 
 19 ,LS_ORDER_ID:VIO45TCLV-140107 ,|---->dosen't exist 
 28 ,LS_ORDER_ID:ACO39IL3396322 ,|---->dosen't exist 
 29 ,LS_ORDER_ID:ACO39IL3396904 ,|---->dosen't exist 
 30 ,LS_ORDER_ID:ACO39IL3396907 ,|---->dosen't exist 
 31 ,LS_ORDER_ID:ACO39IL3396541 ,|---->dosen't exist 
 32 ,LS_ORDER_ID:ACO39IL3395531 ,|---->dosen't exist 
 33 ,LS_ORDER_ID:ACO39IL3396061 ,|---->dosen't exist 
 34 ,LS_ORDER_ID:ACO39IL3396903 ,|---->dosen't exist 
 35 ,LS_ORDER_ID:ACO39IL3395581 ,|---->dosen't exist 
 36 ,LS_ORDER_ID:ACO39IL3395541 ,|---->dosen't exist 
 37 ,LS_ORDER_ID:ACO39IL3396981 ,|---->dosen't exist 
 38 ,LS_ORDER_ID:ACO39IL3397023 ,|---->dosen't exist 
 39 ,LS_ORDER_ID:ACO39IL3398201 ,|---->dosen't exist 
 40 ,LS_ORDER_ID:ACO39IL3398311 ,|---->dosen't exist 
 41 ,LS_ORDER_ID:ACO39IL3398351 ,|---->dosen't exist 
 42 ,LS_ORDER_ID:ACO39IL3398331 ,|---->dosen't exist 
 43 ,LS_ORDER_ID:ACO39IL3398153 ,|---->dosen't exist 
 44 ,LS_ORDER_ID:ACO39IL3398381 ,|---->dosen't exist 
 45 ,LS_ORDER_ID:ACO39IL3398061 ,|---->dosen't exist 
 46 ,LS_ORDER_ID:ACO39IL3398091 ,|---->dosen't exist 
 47 ,LS_ORDER_ID:ACO39IL3398565 ,|---->dosen't exist 
 48 ,LS_ORDER_ID:ACO39IL3398271 ,|---->dosen't exist 
 84 ,LS_ORDER_ID:RIO10VISADCH1431885 ,|---->dosen't exist 
 85 ,LS_ORDER_ID:RIO10CBLCCH1434267 ,|---->dosen't exist 
 86 ,LS_ORDER_ID:RIO10VISADCH1434988 ,|---->dosen't exist 
 88 ,LS_ORDER_ID:RIO10VISADCH1436130 ,|---->dosen't exist 
 89 ,LS_ORDER_ID:RIO10VISADCH1436970 ,|---->dosen't exist 
 90 ,LS_ORDER_ID:RIO10VISADCH1436691 ,|---->dosen't exist 
 91 ,LS_ORDER_ID:RIO10VISADCH1437475 ,|---->dosen't exist 
 92 ,LS_ORDER_ID:RIO10VISADCH1438084 ,|---->dosen't exist 
 93 ,LS_ORDER_ID:RIO10VISADCH1439504 ,|---->dosen't exist 
 94 ,LS_ORDER_ID:RIO10VISADCH1439312 ,|---->dosen't exist 
 99 ,LS_ORDER_ID:RIO10VISADCH1441199 ,|---->dosen't exist 
 100 ,LS_ORDER_ID:RIO10VISADCH1441253 ,|---->dosen't exist 
 101 ,LS_ORDER_ID:RIO10VISADCH1441190 ,|---->dosen't exist 
 102 ,LS_ORDER_ID:RIO10VISADCH1441205 ,|---->dosen't exist 
