===============================================
30/01/2015 18:26:27 By:frank
===============================================
 1 ,LS_ORDER_ID:ONO571349264 ,|---->dosen't exist 
 2 ,LS_ORDER_ID:ONO571349467R2 ,|---->dosen't exist 
 3 ,LS_ORDER_ID:ONO571349563 ,|---->dosen't exist 
 4 ,LS_ORDER_ID:ONO571349464 ,|---->dosen't exist 
 5 ,LS_ORDER_ID:RIO10CMCH1441035R3 ,|---->dosen't exist 
 6 ,LS_ORDER_ID:RIO10VISADCH1441088 ,|---->dosen't exist 
 7 ,LS_ORDER_ID:RIO10VISADCH1440978 ,|---->dosen't exist 
 8 ,LS_ORDER_ID:RIO10CMCH1441035R4 ,|---->dosen't exist 
 9 ,LS_ORDER_ID:RIO10CMCH1441035R1 ,|---->dosen't exist 
 10 ,LS_ORDER_ID:RIO10VISADCH1441104 ,|---->dosen't exist 
 11 ,LS_ORDER_ID:RIO10VISADCH1441011 ,|---->dosen't exist 
 12 ,LS_ORDER_ID:RIO10VISADCH1440956 ,|---->dosen't exist 
 13 ,LS_ORDER_ID:RIO10VISADCH1441014 ,|---->dosen't exist 
 14 ,LS_ORDER_ID:RIO10VISADCH1440955 ,|---->dosen't exist 
 15 ,LS_ORDER_ID:RIO10VISADCH1441157 ,|---->dosen't exist 
 16 ,LS_ORDER_ID:RIO10VISADCH1441081 ,|---->dosen't exist 
 17 ,LS_ORDER_ID:RIO10VISADCH1440972 ,|---->dosen't exist 
 18 ,LS_ORDER_ID:RIO10CMCH1441035R6 ,|---->dosen't exist 
 19 ,LS_ORDER_ID:VIO45TCLV-140107 ,|---->dosen't exist 
 20 ,LS_ORDER_ID:ONO571349467R2_1 ,|---->dosen't exist 
 21 ,LS_ORDER_ID:CHM20141231 ,|---->dosen't exist 
 22 ,LS_ORDER_ID:INO4358569 ,|---->dosen't exist 
 23 ,LS_ORDER_ID:CAO3212202961 ,|---->dosen't exist 
 24 ,LS_ORDER_ID:CAO3212191741 ,|---->dosen't exist 
 25 ,LS_ORDER_ID:CAO3212219291 ,|---->dosen't exist 
 26 ,LS_ORDER_ID:CAO3212219615 ,|---->dosen't exist 
 27 ,LS_ORDER_ID:CAO3212211741 ,|---->dosen't exist 
 28 ,LS_ORDER_ID:ACO39IL3396322 ,|---->dosen't exist 
 29 ,LS_ORDER_ID:ACO39IL3396904 ,|---->dosen't exist 
 30 ,LS_ORDER_ID:ACO39IL3396907 ,|---->dosen't exist 
 31 ,LS_ORDER_ID:ACO39IL3396541 ,|---->dosen't exist 
 32 ,LS_ORDER_ID:ACO39IL3395531 ,|---->dosen't exist 
 33 ,LS_ORDER_ID:ACO39IL3396061 ,|---->dosen't exist 
 34 ,LS_ORDER_ID:ACO39IL3396903 ,|---->dosen't exist 
 35 ,LS_ORDER_ID:ACO39IL3395581 ,|---->dosen't exist 
 36 ,LS_ORDER_ID:ACO39IL3395541 ,|---->dosen't exist 
 37 ,LS_ORDER_ID:ACO39IL3396981 ,|---->dosen't exist 
 38 ,LS_ORDER_ID:ACO39IL3397023 ,|---->dosen't exist 
 39 ,LS_ORDER_ID:ACO39IL3398201 ,|---->dosen't exist 
 40 ,LS_ORDER_ID:ACO39IL3398311 ,|---->dosen't exist 
 41 ,LS_ORDER_ID:ACO39IL3398351 ,|---->dosen't exist 
 42 ,LS_ORDER_ID:ACO39IL3398331 ,|---->dosen't exist 
